Type,Requirement,Level
L,The product shall comply with the estimatics laws relating to recycled parts usage,High
L,The product shall comply with insurance regulations regarding claims processing,High
O, The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network,Low
O,The product will function alongside server software on any operating system where the Java runtime can be installed,Low
O,The product will require collaboration with a database management system (DBMS)  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network,Low
O, The product must make use of web/application server technology  Open source examples include Apache web server  Tomcat  and the JBoss application server,Low
O, A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product,Low
LF, The product s Look and Feel shall be able to incorporate aspects of the customer s organization such as logo  branding  and identity,Low
LF,The product shall have a conservative and professional appearance,Low
US,The product shall make the users want to use it 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch,Medium
US,The product shall be easy to use 90% of users will be able to successfully reserve a conference room within 5 minutes of product use,Medium
US,The product shall give users feedback when necessary 80% of the users surveyed report that the product accurately confirms their actions,Medium
US,The product shall allow the user to select a chosen language from one of the target market countries,Medium
US,The product shall allow for customization of start page and views preferences,Medium
US, An employee will be able to successfully use the product within a few minutes  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms,Medium
US,The product shall use a standard navigation menu familiar to most web users,Medium
US,The product shall allow for intuitive searching of available conference rooms,Medium
US,The product shall conform to the Americans with Disabilities Act,Medium
PE,The response shall be fast enough to avoid interrupting the user s flow of thought  90% of tasks shall complete within 5 seconds  98% of tasks shall complete within 8 seconds,
A,Aside from server failure  the software product shall achieve 9999% up time,High
FT,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution,Medium
SC, The product shall be capable of handling up to 1 000 concurrent requests  This number will increase to 2 000 by Release 2  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours,High
SC, The product shall be able to process 10 000 transactions per hour within two years of its launch  This number will increase to 20 000 by Release 2,High
SC,The product shall be expected to operate for at least 5 years for each customer installation,High
O,The product shall be used in office environments,Low
O,The product must be able to interface with any HTML browser  The product shall transmit data between the user and the product without problems The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers),Low
O,The product must be able to interface with various database management systems The product shall communicate successfully with the database management system on 100% of all transactions,Low
O,The product must be able to interface with various email servers The product shall be able to send email,Low
O,The product shall be available for distribution via the Internet as a binary or ZIP file,Low
O,The product shall be available for distribution as a packaged CD,Low
O, The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license,Low
US,A new user must be able to be added to the system within 10 minutes  90% of new users are able to log into the system within 10 minutes,Medium
MN,The product must be designed using Design Patterns and coding best practices  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days,Medium
MN,The product must be highly configurable for use with various database management systems for the end users  80% of end users are able to integrate new database management systems with the product without changing the product s software code,Medium
MN,Maintenance releases will be offered to customers once a year  The releases shall take no longer than 5 minutes for 80% of the customer base to install,Medium
US,Every registered user will have access to the product s support site via the Internet  70% of registered users shall find a solution to their problem within 5 minutes of using the support site,Medium
MN,The customer shall be able to easily integrate new building maps with the product throughout the product s lifecycle  Integration of new maps with the product shall be possible with little to no support from product support staff,Medium
US, The product shall be translated into foreign languages other than the target market countries  languages in future releases  For each emerging target market  it shall take no more than 5 days to configure the product for that market s language,Medium
O, The product is expected to integrate with multiple database management systems  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access,Low
O,The product shall be able to be installed in any operating environment within 2 days,Low
SE,The product shall ensure that only company employees or external users with company-approved user IDs may have product access  100% of all logons shall be by either company employees or external users with company-approved user IDs,High
SE,Only managers are able to perform search queries for reservations by user  100% of all search queries for reservations by user shall be from logons of only management logons,High
SE,The product shall ensure that the database s data corresponds to the data entered by the user  Each conference room reservation in the system will contain the same information as was entered by the user,High
SE,The product shall prevent the input of malicious data  The product and/or adjacent hardware/software systems  data shall remain 100% uncorrupted each time malicious data is input into the product,High
FT,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product,High
SE,The product shall have the ability to receive automatic software updates as new threats emerge  100% of customers will be able to receive automatic software updates transmitted to the installed product,High
SC,The language of the product shall accommodate all of the target market countries 90% of survey respondents from each target market country will find that the language of the product is acceptable,Medium
US,The product shall be able to display calendar dates and times according to the user s locale  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct,Medium
O,The product must be developed with the J2SE/J2EE programming language libraries,Low
PE,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min,High
PE,The System shall allow for a minimum of  6 users to work at the same time,High
O,The System shall utilize currently owned computer equipment,Low
O,The System shall be able to automatically backup business data and restore them on demand,Low
SE,The System shall maintain consistent security  Any changes in user passwords and/or permissions should take affect in all parts of the System,High
SE,The System shall granularly control access rights to all major subsystems  It should be possible to assign access rights to all subsystems independently,High
L,The System shall meet all applicable accounting standards  The final version of the System must successfully pass independent audit performed by a certified auditor,High
O,The System shall not require additional third party licenses resulting in royalty fees,Low
PE,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds,High
PE, Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds,High
PE,System shall let customers register on the website as a  pay as you go  user in under 5 minutes,High
PE,System shall let customers register on the website as a  unlimited movie subscriber  user in under 10 minutes,High
PE,System shall let existing customers log into the website with their email address and password in under 5 seconds,High
PE, System shall let customers cancel their account  process shall take no longer than 2 minutes  Database will mark the account as inactive  and user will not be able to log into the website,High
PE,System shall let administrator de-activate a customer account in under 1 minute Customer will no longer be able to access the website,High
PE,System shall let administrator add/remove movies on the website in under 5 minutes  Entered movie information will be stored in the database and will now be available on the website,High
PE,System shall let the administrator add/remove categories on the website in under 5 minutes,High
PE,System shall let Izogn Manager access sales and usage statistics in under 2 minutes,High
PE,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs,High
LF,The website shall be attractive to all audiences  The website shall appear to be fun and the colors should be bright and vibrant,Low
LF, The website should have an African feel  but should not alienate non-Africans  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up,Low
LF,The website design should be modern  clean  and concise,Low
US,The product should be able to be used by 90% of novice users on the Internet,Medium
US, Users should only have to navigate through a maximum of 4 pages  to create an account with the website,Medium
US,Users should be able to access their streaming movies in under 2 clicks after logging into the website,Medium
US,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website,Medium
US,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system,Medium
US,The product shall retain the customer s buying preferences and information,Medium
US,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes,Medium
US,The product shall use symbols and words that are naturally understandable by users familiar with websites,Medium
US,The website will use standard Internet conventions when interacting with the user,Medium
PE, Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below,High
PE, When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds,High
PE, When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user s connection),High
PE, While streaming a movie  buffering should only occur if there is latency in the user s connection,High
SE, All credit card information will be secured on the server  and only accessible by authorized Izogn administrators  Information will be encrypted in the database,High
A, The website shall be available for use 24 hours per day  365 days per year,High
A,The website shall achieve 995% up time,High
A, All movies shall be streamed on demand  at any time of the day,High
FT,The website shall continue to operate if the streaming server goes down,High
FT,The website shall continue to operate if the payment gateway goes down,High
SC,The streaming server will support 50 simultaneous streaming connections,High
SC,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies,High
SC, The server will support a maximum of 1 000 simultaneous users,High
SC, The website shall be capable of supporting 100 000 customers,High
MN,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years,Medium
O,All aspects of the website shall be accessed by a web browser over the Internet,Low
O,The same hardware supporting the current website will be used to support the new system,Low
O, We must be able to interface with the following browsers,Low
O,Website must interface with the CyberSource API to process credit card transactions,Low
O,Website must be fully operational with MSN TV2,Low
O,Movies shall be encoded and streamed via Windows Media Player 90,Low
O,Movies shall be encoded for 56k and 256k streams,Low
MN,Promotional updates to the website should take a day to update,Medium
PE,Izogn Administrator must be able to update the category listings on the website within 2 minutes,High
PE,Izogn Administrator must be able to add new products to the website within 2 minutes,High
A,The system will provide a 24 hour 800 toll free number for support to its customers,High
US,The website will provide a help section with answers and solutions to common problems,Medium
A, Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators,High
O,The product shall be able to be installed in the specified environment within 1 working day,Low
SE,Only registered customers can purchase streaming movies,High
SE, A customer can only stream a movie if they purchased it  and are within the 2 day viewing period,High
SE,Only authorized personnel can access customer records in the database,High
SE,Only administrators can activate a pre-paid card,High
SE,Only authorized personnel can access sales information,High
SE,The website shall prevent its data from being corrupted when incorrect data is entered in,High
SE, The website shall protect itself from intentional abuse  and notify the administrator at all occurrences,High
SE,Data integrity scripts will be run on a weekly basis to verify the integrity of the database,High
SE, The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website,High
SE,The system shall notify customers of changes to its information policy,High
SE,The system shall reveal private information only in compliance with the organization s information policy,High
SE, All customer information will be stored on a secure database  accessible only to authorized personnel,High
SE,All credit card information will be encrypted in the database,High
SE,The streaming server will have anti-virus software to prevent infection of malicious viruses,High
LF,The website should cater to all tribes in Nigeria,Low
LF,The website shall not be offensive to religious or ethnic groups,Low
LF, The website should appeal to all Africans  not only Nigerians,Low
O,The website should use Flash to provide animation on the home page,Low
L,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies,High
L,The website will comply with W3C standards,High
L,The PHP code will comply with PEAR standards,High
PE,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours,High
PE,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed,High
PE,For leads that process longer than 25 seconds the system will record the event and duration,High
PE,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle,High
O,The lead washing process will operate within the established physical web service structure,Low
O, The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data,Low
A,Defect reports will be available to technical units on a 24x7 basis,High
MN,Washing parameters will be updated during scheduled maintenance hours,Medium
LF,The product shall simulate the look of ships at sea,Low
LF,The product shall display the grids within a circle as a view from a periscope,Low
LF,The product shall display each type of ship in a grid using an image of the specific type of ship,Low
LF,When the offensive player takes a shot the product shall simulate the sound of a ship at sea,Low
LF,When a shot is marked as a miss the product shall simulate the sound of a shot missing its target,Low
LF,When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target,Low
LF,When a ship is sunk the product shall simulate the sound of a sinking ship,Low
A,The product shall be available 24 hours per day seven days per week,High
PE,The product shall able to handle a large number of games simultaneously,High
PE,The response time shall be fast enough to maintain the flow of the game The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses,High
PE,The product shall protect the identity of the players The product shall provide players no access to information that might reveal the identity of another player,High
US,The product shall be intuitive and self-explanatory Nine out ten users shall be able to successfully complete a game with no training,Medium
SE,The product shall provide players no access to information that might reveal the identity of another player,High
PE,The response time shall be fast enough to maintain the flow of the game The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses,High
US,The system shall be easy to use by callers and supervisors Callers and supervisors must be able to accomplish any system task within 2 minutes,Medium
US,The system shall be easy to learn by callers and supervisors Callers and supervisors shall learn how to use the system within 10 minutes,Medium
PE,On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time,High
PE,On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time,High
A,The system shall have high availability every day of the year The system must be available for use between 12,High
A,The system must be available for use between 7,High
MN,The product shall be internet browser independent The product must run using Internet Explorer and Netscape Navigator,Medium
SE,The product shall ensure that only supervisors can advertise empty time slots The product must ensure that supervisors are allowed to access advertise empty time slots,High
SE,The product shall ensure that only supervisors can enter a caller’s schedule The product must ensure that supervisors are allowed to access advertise empty time slots,High
SE,The product shall ensure that only supervisors can view schedule of all callers The product must ensure that supervisors are allowed to access advertise empty time slots,High
LF,The interface shall have a simple look In the interface and usability survey 90% of beta testers must report that the interface is adequately simple,Low
LF,The interface shall be appealing to callers and supervisors In the interface and usability survey 80% of beta testers must report that the interface is appealing,Low
LF,The product shall provide GUI based Monitoring Services System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support,Medium
LF,The product shall comply with City of Chicago Application Development Guide Framework Application Development Framework will provide structured Graphical User Interface,Medium
US,The product shall provide Monitoring Services The product shall be easy for System Administrators and DBAs to use after two weeks of usage,Medium
US,The product shall provide Error Tracking Services The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time,High
US,The product shall provide Portals The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),Medium
PE,The product shall provide Asynchronous Messaging The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,High
PE,The product shall provide Multi-threading and Load Balancing The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic,High
PE,The product shall process messages within 2 seconds The product shall have a maximum message processing time of 2 seconds,High
PE,The product shall poll the system for messages every second The product shall poll the system for new messages at a maximum of every 1 second,High
PE,The product shall provide Dynamic Change Support and Transparent resource addition The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day,High
A,The product shall be available 99% of the time Rationale,High
FT,The product shall be robust The product shall have fault avoidance based on standards adoption,High
FT,The product shall be robust with fault tolerance The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures,High
SC,The product shall be able to process all transactions The product shall process minimum of 1 million transactions per year,High
O,The product shall be platform independent The product shall enable access to any type of development environment and platform,Medium
O,The product shall interface CSR and Datastream The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems,High
MN,The product shall be updated on a regular basis The product will have a new major feature introduced every six months and quarterly maintenance releases every six months,Medium
MN,The product shall operate with every platform The product shall accommodate any new technology without any change in its architecture,Medium
SE,The product shall have security The product shall provide authentication and authorization,High
SE,The product shall information Security The product shall enable privacy by encryption WS-Security and Integrity Checking,High
SE,The product shall have audit capabilities The product shall store messages for a minimum of one year for audit and transaction tracking purposes,High
LF,The system shall use IBM and CCR branding standards The interface must have one IBM logo and one CCR logo,Low
LF,The system shall be displayable on any work computer a CCR user may have The system interface shall be formatted to display at 800 by 600 pixel resolution,Low
LF,The system interface will use CCR nomenclature The system must use the same nomenclature used in the existing WCS system and reports,Low
LF,The interface must summarize the data in a fashion that’s appealing to CCR management Every report type must have at least one high level summary shown in the results dashboard/interface,Low
US,The system must use a point and click interface 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,Medium
US,The interface shall be easy to use 90% of users should be able to successfully use the system to generate a report on their first use The interface should adhere to IBM usability standards,Medium
US,Reports must be easy to generate Reports must be generated within one button click and exported within one button click (after selecting the report),Medium
US,A user shall be able to use the system without instruction after a short amount of time After one use a user should understand and remember 90% of the system usage and navigation,Medium
US,All CCR users shall receive training before the WCS system is deployed One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),Medium
US,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization All interfaces and reports will undergo usability tests by CCR users,Medium
A,The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible The WCS system will be available 95% of the time IBM's internal intranet W3 is available,High
SC,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system,Medium
SC,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management,Medium
O,The WCS system shall be run in a Windows environment The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system,Medium
O,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats) Brio will provide buttons in the user interface that produce/export reports in xls or 123 file formats,Medium
MN,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users Queries must be made to external databases for data refresh once a week,Medium
SE,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees Users must be authenticated using their IBM intranet user name and password,High
SE,The WCS system shall not allow automatic logins by any user Cookies containing WCS login information about a user will not be stored on a user’s computer,High
SE,Each team owner will need to use a username and password in order to be authenticated to reach the team owner’s page,High
SE,The Commissioner will be the only authorized user per league to adjust league settings,High
LF,Each page shall contain a navigation menu which shows the index into which the current page is contained,Low
LF,Each page shall contain a similar format with action items in one location and navigation buttons in a different location,Low
LF,The message board shall contain the 5 most recently posted messages on the league page The messages will contain up to the first 150 characters of the message,Low
US,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page,Medium
US,Users shall be able to view at least 25 NFL player statistics and points on each page,Medium
US,The application shall ask the user to confirm dropping a player or trading a player before performing the action,Medium
PE,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network,High
A,The application shall have a downtime of at most 10 minutes per year,High
O,The application shall run on a web application server,Medium
PE,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds,High
PE,The Disputes application shall support 350 concurrent users without any degradation of performance in the application,High
O,The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows Monday, Medium
O,The Disputes application shall interface with the Statement Database The Statement Database provides the transaction details to the Disputes System All transaction details must be obtained from the Statement Database,High
O,A primary database will be used to store cached data for active users,Medium
A,The system shall achieve 95% up time,High
LF,The system shall have a professional appearance,Low
LF,The product shall have a consistent color scheme and fonts,Low
US,The system shall be used by realtors with no training,Medium
US,The system shall be intuitive and self explanatory,Medium
US,The product shall be easy for a realtor to learn,Medium
US,The product shall use symbols and words that are naturally understandable by the realtor community,Medium
PE,The product shall produce search results in an acceptable time,High
PE,The search results shall be returned no later 30 seconds after the user has entered the search criteria,High
PE,The product shall generate a CMA report in an acceptable time,High
PE,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria,High
PE,The product shall synchronize contacts and appointments in an acceptable time,High
PE,The product shall synchronize with the office system every hour,High
A,The product shall be available for use 24 hours per day 365 days per year,High
FT,The product shall operate in offline mode whenever internet connection is unavailable,High
FT,The product shall retain user preferences in the event of a failure,High
FT,100% of saved user preferences shall be restored when system comes back online,High
SC,The product shall be able to support multiple remote users,High
SC,The product shall be able support 1000 simultaneous users,High
SC,The product shall be capable of handling the existing 1000 users This number is expected to grow 5 times within the next year,High
US,The product shall be installed by an untrained realtor without recourse to separately-printed instructions,Medium
US,90% of untrained realtors shall be able to install the product on their device without printed instructions,Medium
PO,The product is expected to run on Windows CE and Palm operating systems,Medium
SE,Only registered realtors shall be able to access the system,High
SE,Every user of the system shall be authenticated and authorized,High
SE,The product shall prevent its data from incorrect data being introduced,High
SC,System shall be able to handle all of the user requests/usage during business hours,High
SC,The system shall cater to 10 simultaneous users from 9am to 5pm,Medium
SC,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years,High
SC,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years,High
O,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University,Medium
O,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members,Medium
O,A secondary database will be used to store historical statistics and data,Medium
US,The system shall be easy to use by the Program Administrators/Nursing Staff Members,Medium
US,All of the users shall be able to use the system after one day of training,Medium
US,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students,High
US,The number of mistakes noted by the students shall be decreased by 50% in the first year,High
US,The system shall be intuitive to the Program Administrators/Nursing Staff Members,Medium
US,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals,Medium
US,The system shall use symbols and words that are naturally understandable by the user community,Medium
US,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community,Medium
PE,Staff members shall be able to complete a set of tasks in a timely manner,High
PE,The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds,High
A,The system shall be available for use between the hours of 8am and 6pm,High
O,The system shall operate within the Windows XP Professional operating system,Medium
O,The system shall interface with CampusConnect’s central server,High
O,The system shall interface with the faculty central server,High
O,The system shall interface with the student master server,High
O,We must be able to interface with any HTML browser,Medium
SE,Only authorized users shall have access to clinical site information,High
SE,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details,High
SE,Only authorized users shall have access to students’ personal information,High
SE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students’ personal information,High
SE,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect,High
SE,Fit Criterion,Medium
SE,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced,High
SE,The system shall protect private information in accordance with the organization’s information policy,High
SE,The system shall be built such that it is as secure as possible from malicious interference,High
SE,The system shall use the organization’s standard virus protection software to help monitor threats to itself,High
MN,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season,Medium
MN,New System version releases shall be released at the beginning of each NFL season,Medium
O,98% of the user workstations shall meet the minimum hardware requirements prior to implementation Minimum Hard Disk Space,Medium
O,98% of the user workstations shall meet the minimum software requirements prior to implementation,Medium
O,The RFS system should be able to easily interface with the BDW environment in order to load the data 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year The data will be as of October month-end Test files (7) shall be loaded up to 5 times throughout the year from the BDW,High
MN,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process,High
SE,Only authorized user shall access the RFS system ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it,High
SE,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles Access to functionality within RFS system is dependent on the privileges/permission assigned to the role,High
LF,The product must comply with the intranet page standards and requirements of ENET Securities 95% of the product look & feel will be approved by the Architecture group prior to implementation The remaining 5% will be corrected and approved within one month of product release,Low
PE,The response shall be fast enough to avoid interrupting the user’s flow of thought 90% of tasks shall complete within 5 seconds 98% of tasks shall complete within 8 seconds,High
MN,The product must be highly configurable for use with various database management systems for the end users 80% of end users are able to integrate new database management systems with the product without changing the product’s software code,Medium
US,Every registered user will have access to the product’s support site via the Internet 70% of registered users shall find a solution to their problem within 5 minutes of using the support site,Medium
MN,The customer shall be able to easily integrate new building maps with the product throughout the product’s lifecycle Integration of new maps with the product shall be possible with little to no support from product support staff,Medium
SE,The product shall ensure that the database’s data corresponds to the data entered by the user Each conference room reservation in the system will contain the same information as was entered by the user,High
SE,The product shall prevent the input of malicious data The product and/or adjacent hardware/software systems’ data shall remain 100% uncorrupted each time malicious data is input into the product,High
US,The product shall be able to display calendar dates and times according to the user’s locale 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct,Medium
PE,System shall let customers register on the website as a ‘pay as you go’ user in under 5 minutes,High
PE,System shall let customers register on the website as a ‘unlimited movie subscriber’ user in under 10 minutes,High
US,The product shall retain the customer’s buying preferences and information,Medium
PE, When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user’s connection),High
PE, While streaming a movie  buffering should only occur if there is latency in the user’s connection,Medium
SE,The system shall reveal private information only in compliance with the organization’s information policy,High
SE,The product shall ensure that only supervisors can enter a caller’s scheduleThe product must ensure that supervisors are allowed to access advertise empty time slots,High
LF,The interface must summarize the data in a fashion that’s appealing to CCR management Every report type must have at least one high level summary shown in the results dashboard/interface,Low
A,The WCS system shall be available at all times as long as IBM’s internal intranet W3 is accessible The WCS system will be available 95% of the time IBM’s internal intranet W3 is available,High
SE,The WCS system shall not allow automatic logins by any user Cookies containing WCS login information about a user will not be stored on a user’s computer,High
SE,Each team owner will need to use a username and password in order to be authenticated to reach the team owner’s page,High
O, The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows  Monday – Saturday 3,High
O,The system shall interface with CampusConnect’s central server,High
SE,Only authorized users shall have access to students’ personal information,High
SE,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students’ personal information,High
SE,The system shall protect private information in accordance with the organization’s information policy,High
SE,The system shall use the organization’s standard virus protection software to help monitor threats to itself,High
O,The RFS system should be able to easily interface with the BDW environment  in order to load the data 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year The data will be as of October month-end Test files (7) shall be loaded up to 5 times throughout the year from the BDW,High
PE,'The system shall refresh the display every 60 seconds',High
