Type,Requirement
US,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.
PE,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.
PE,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds
PE,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.
PE,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.
A,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.
A,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.
SC,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.
SC, The average number of recycled parts records per day shall be 50 000.
SC, The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.
O, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.
O,The product shall interface with the ChoiceParts system once per day at approximately 1
O,The maintenance of the product will fall within the established corporate maintenance windows.
O,The product shall be supported using the corporate support center.
O,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.
SE,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.
SE,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.
SE,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.
SE,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.
SE,One insurance company shall not be able to view another insurance companys claim data.
SE,The product shall free of computer viruses.
SE,The system shall prevent malicious attacks including denial of service.
L,The product must comply with Sarbanes-Oxley.
L,The product shall comply with the estimatics laws relating to recycled parts usage.
L,The product shall comply with insurance regulations regarding claims processing.
F, The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles
F, The vehicle data shall include vehicle year  make  and model
F, The vehicle location shall include street address  city  state  and zipcode
F, The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.
F,The search radius shall be between 1 and 30 miles
F,The system shall locate the preferred repair facility with the highest ratings for the input criteria
F,The adjuster shall enter the preferred repair facility on the estimate assignment.
F,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.
F,The preferred repair facility shall be returned to the user.
F,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.
F,The estimator shall search for available recycled parts using damaged vehicle parts information.
F,The estimator shall search for available recycled parts using a list of preferred parts suppliers.
F,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.
F,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers
F,The system shall retain the available recycled parts and suppliers returned from the search.
F,The available recycled parts information and their suppliers shall be returned to the user.
F,The estimator shall apply selected recycled parts to the collision estimate.
F,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.
F,The adjuster shall review the collision estimate.
F,The adjuster shall request a recycled parts audit of the collision estimate.
F,The recycled parts search results provided to the estimator shall be retrieved by the system.
F,The system shall generate an audit report based on the available recycled parts and the collision estimate.
F,The audit report shall include the total number of recycled parts used in the estimate.
F,The audit report shall include the number of available recycled parts from the original search results.
F, The audit report shall include the percentage of available recycled parts used in the estimate
F,The audit report shall include the total score of the audit which sums the indivual line items.
F,The audit report shall be displayed to the user.
F,The audit report shall be available to other adjusters at later points in time.
F,The user shall select to view the preferred repair facility ratings.
F,The current repair facility ratings shall be displayed to the user.
F,The system will display a blank set of ratings if there are not ratings yet defined.
F,The user shall enter new ratings based on the audit report
F,The ratings shall be from a scale of 1-10
F,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts
F,The user shall select to save the preferred repair facility ratings.
F,The preferred repair facility ratings shall be saved by the system.
O, The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.
O,The product will function alongside server software on any operating system where the Java runtime can be installed.
O,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.
O, The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.
O, A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.
LF, The product s Look and Feel shall be able to incorporate aspects of the customer s organization such as logo  branding  and identity
LF,The product shall have a conservative and professional appearance.
US,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.
US,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.
US,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.
US,The product shall allow the user to select a chosen language from one of the target market countries.
US,The product shall allow for customization of start page and views preferences.
US, An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.
US,The product shall use a standard navigation menu familiar to most web users.
US,The product shall allow for intuitive searching of available conference rooms.
US,The product shall conform to the Americans with Disabilities Act.
PE,The response shall be fast enough to avoid interrupting the user s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.
A, Aside from server failure  the software product shall achieve 99.99% up time.
FT,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.
SC, The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.
SC, The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.
SC,The product shall be expected to operate for at least 5 years for each customer installation.
O,The product shall be used in office environments.
O,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).
O,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.
O,The product must be able to interface with various email servers. The product shall be able to send email.
O,The product shall be available for distribution via the Internet as a binary or ZIP file.
O,The product shall be available for distribution as a packaged CD.
O, The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.
US,A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.
MN,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.
MN,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product s software code.
MN,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.
US,Every registered user will have access to the product s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.
MN,The customer shall be able to easily integrate new building maps with the product throughout the product s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.
US, The product shall be translated into foreign languages other than the target market countries  languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market s language.
O, The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.
O,The product shall be able to be installed in any operating environment within 2 days.
SE,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.
SE,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.
SE,The product shall ensure that the database s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.
SE,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems  data shall remain 100% uncorrupted each time malicious data is input into the product.
FT,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.
SE,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.
SC,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.
US,The product shall be able to display calendar dates and times according to the user s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.
O,The product must be developed with the J2SE/J2EE programming language libraries
F,The product shall record meeting entries.
F,The product will notify employees of meeting invitations.
F,The product shall have the ability to send meeting reminders to employees.
F,The product shall assign the organizers contact information to each meeting they create.
F,The product will record meeting acknowledgements.
F,The product shall store new conference rooms.
F,The product shall update existing conference rooms.
F,The product will be able to delete conference rooms.
F,The product shall be able to store new room equipment.
F,The product will update existing room equipment.
F,The product shall be able to delete room equipment.
F,The product shall allow an organizer to invite other employees to meetings.
F, Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.
F,The product shall record the transportation status of equipment reserved.
F,The product shall display a map of the company building showing conference room locations.
F,The product shall record updated meeting agendas.
F,The product shall send a meeting confirmation to the meeting organizer.
F,The product shall display room equipment according to search parameters.
F,The product shall display conference rooms according to search parameters.
F,The product shall record different meeting types.
F,The product shall record all the equipment that has been reserved.
F,The product shall notify building personnel of equipment transport requests.
F,The product will allow priviledged users to view meeting schedules in multiple reporting views.
F,The product shall be able to send meeting notifications via different kinds of end-user specified methods.
F,The product shall have a customizable Look and Feel.
F,The product shall have an intuitive user interface.
F,The product will display an available status for unreserved conference rooms.
PE,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.
PE,The System shall allow for a minimum of  6 users to work at the same time.
O,The System shall utilize currently owned computer equipment.
O,The System shall be able to automatically backup business data and restore them on demand.
SE,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.
SE,The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.
L,The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.
O,The System shall not require additional third party licenses resulting in royalty fees.
F,The System shall allow generation of Inventory Quantity Adjustment documents on demand.
F,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.
F,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.
F, The System shall allow entering  storing and modifying product formulas.
F, Product formulas shall allow use of semi-products  which have own formulas.
F,Product formula ingredients shall allow defining substitutionary ingredients.
F,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.
F,Formula substitutionary ingredients shall be kept in persisted order
F, Product shall allow entering  storing and modifying product menus used by POS terminals.
F,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.
F,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.
F,PME Subsystem shall allow for a product to exist in more than one submenu
F,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.
F,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.
F,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.
PE,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.
PE, Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.
PE,System shall let customers register on the website as a  pay as you go  user in under 5 minutes.
PE,System shall let customers register on the website as a  unlimited movie subscriber  user in under 10 minutes.
PE,System shall let existing customers log into the website with their email address and password in under 5 seconds.
PE, System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.
PE,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.
PE,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.
PE,System shall let the administrator add/remove categories on the website in under 5 minutes.
PE,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.
PE,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.
LF,The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.
LF, The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.
LF, The website design should be modern  clean  and concise.
US,The product should be able to be used by 90% of novice users on the Internet.
US, Users should only have to navigate through a maximum of 4 pages  to create an account with the website.
US,Users should be able to access their streaming movies in under 2 clicks after logging into the website.
US,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.
US,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.
US,The product shall retain the customer s buying preferences and information.
US,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.
US,The product shall use symbols and words that are naturally understandable by users familiar with websites
US,The website will use standard Internet conventions when interacting with the user.
PE, Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.
PE, When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.
PE, When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user s connection.)
PE, While streaming a movie  buffering should only occur if there is latency in the user s connection.
SE, All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.
A, The website shall be available for use 24 hours per day  365 days per year.
A,The website shall achieve 99.5% up time.
A, All movies shall be streamed on demand  at any time of the day.
FT,The website shall continue to operate if the streaming server goes down.
FT,The website shall continue to operate if the payment gateway goes down.
SC,The streaming server will support 50 simultaneous streaming connections.
SC,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.
SC, The server will support a maximum of 1 000 simultaneous users.
SC, The website shall be capable of supporting 100 000 customers.
MN,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.
O,All aspects of the website shall be accessed by a web browser over the Internet.
O,The same hardware supporting the current website will be used to support the new system.
O, We must be able to interface with the following browsers
O,Website must interface with the CyberSource API to process credit card transactions.
O,Website must be fully operational with MSN TV2.
O,Movies shall be encoded and streamed via Windows Media Player 9.0.
O,Movies shall be encoded for 56k and 256k streams.
MN,Promotional updates to the website should take a day to update.
PE,Izogn Administrator must be able to update the category listings on the website within 2 minutes.
PE,Izogn Administrator must be able to add new products to the website within 2 minutes.
A,The system will provide a 24 hour 800 toll free number for support to its customers.
US,The website will provide a help section with answers and solutions to common problems.
A, Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.
O,The product shall be able to be installed in the specified environment within 1 working day.
SE,Only registered customers can purchase streaming movies.
SE, A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.
SE,Only authorized personnel can access customer records in the database.
SE,Only administrators can activate a pre-paid card.
SE,Only authorized personnel can access sales information.
SE,The website shall prevent its data from being corrupted when incorrect data is entered in.
SE, The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.
SE,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.
SE, The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.
SE,The system shall notify customers of changes to its information policy.
SE,The system shall reveal private information only in compliance with the organization s information policy.
SE, All customer information will be stored on a secure database  accessible only to authorized personnel.
SE,All credit card information will be encrypted in the database.
SE,The streaming server will have anti-virus software to prevent infection of malicious viruses.
LF,The website should cater to all tribes in Nigeria.
LF,The website shall not be offensive to religious or ethnic groups.
LF, The website should appeal to all Africans  not only Nigerians.
O,The website should use Flash to provide animation on the home page.
L,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.
L,The website will comply with W3C standards.
L,The PHP code will comply with PEAR standards.
F, The website will allow customers to search for movies by title  actor  or director.
F, viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.
F, Website shall request  and authorize credit card payment before allowing a user to stream a movie.
F, shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.
F,Website shall allow customers to browse movies by categories entered in by izogn administrator.
F,Website shall allow customers to view reviews of selected movies by other customers.
F,Website shall allow customers to add their own movie review for a selected movie.
F,Website shall allow the Izogn administrator to approve a review posted by a customer.
F,System will allow customers to pay for a streaming movie with a pre-paid card.
F, Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.
F, System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website.
F,System shall allow users to update their billing and contact information via the  My Account  section of the website.
F, Pre-paid cards shall be distributed via email  or via a printed paper card.
F,Only registered customers can purchase streaming movies.
F, Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.
F,Website must be able to support free trial periods with various parameters set by the Izogn Manager.
F, All streaming movie sales will be logged in the database  and accessible by the administrator.
F, All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.
F, Daily usage statistics should be logged  and accessible by the administrator.
F,The owner shall have free access to all of the streaming movies.
PE,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.
PE,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.
PE,For leads that process longer than 25 seconds the system will record the event and duration
PE,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.
O,The lead washing process will operate within the established physical web service structure.
O, The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.
A,Defect reports will be available to technical units on a 24x7 basis.
MN,Washing parameters will be updated during scheduled maintenance hours.
F,The vendor will verify the invalid lead.
F,Vendor will submit a credit validation record to be applied to the enterprise billing system.
F,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.
F,The leads washing functionality will validate all leads received by the web service for valid data
F,The leads washing functionality will insert all leads captured by the web service.
F,If the leads score falls within the high average score then it will be process by the ARA functionality.
F,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.
F,If the leads score falls within the low average then it will be returned to the supplying vendor
F,The leads washing functionality will compile both contact and academic scoring information for a total score.
F,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.
F,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.
F,The leads washing functionality will have an interface in which lead data parameters can be maintained.
F,The leads washing functionality will verify the users authentication and rights to make parameter updates.
F,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.
F,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.
F,The leads washing functionality shall receive a period list of available reps from the enterprise system.
LF,The product shall simulate the look of ships at sea.
LF,The product shall display the grids within a circle as a view from a periscope.
LF,The product shall display each type of ship in a grid using an image of the specific type of ship.
LF, When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.
LF, When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.
LF, When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.
LF, When a ship is sunk  the product shall simulate the sound of a sinking ship.
A, The product shall be available 24 hours per day  seven days per week.
PE,The product shall able to handle a large number of games simultaneously.
PE,The response time shall be fast enough to maintain the flow of the game.  The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.
PE,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.
US,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.
US, The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.
SE,The product shall provide players no access to information that might reveal the identity of another player
PE,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.
F,The product shall maintain a list of players.
F,The product shall allow a user to identify himself or herself as a player.
F, Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.
F,The product shall allow a user to remove himself or herself from the list of players at any time.
F,The product shall make inactive players unavailable for selection from the list of players.
F,The product shall remove players who have been inactive for 24 hours from the list of players.
F,The product shall allow a player to initiate a game by selecting another available player from the list of players.
F, Once a game is initiated  the product shall display a defensive grid to each player
F, Once a game is initiated  the product shall display an offensive grid to each player.
F,The product shall prevent a player from viewing the offensive or defensive grids of the other player.
F, Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.
F,The product shall allow a player to position ships horizontally on their grid.
F,The product shall allow the player to position ships vertically on their grid.
F,The product shall allow the player to position ships diagonally on their grid
F,The product shall prevent the player from overlapping ships on their grid.
F, When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.
F, For each turn  the product shall identify one player as offensive status and one player as defensive status.
F, The product shall maintain the status of each player for a turn  either offensive or defensive.
F, At the start of each turn  the product shall notify each player of his or her status.
F, For each turn  the product shall allow the offensive player to define a shot.
F, For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.
F, For each shot  the product shall notify the players whether the shot was a hit or miss.
F, For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.
F, For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.
F,When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.
F,When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.
F,When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.
F,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.
F,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive
F,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive
F,The product shall continue to assign turns until the game is ended.
F,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player s ships  which had not been previously marked as sunk.
F,The product shall allow a player to end a game at any time during the game.
F,When a game is ended  the product shall notify the players that the game is ended.
F,The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).
F,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.
F,When a game is ended  the product shall allow each player to remove himself or herself from the list of players.
US,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.
US,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.
PE,The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.
PE,On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.
PE,On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.
A,The system shall have high availability every day of the year.The system must be available for use between 12
A,The system must be available for use between 7
MN,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.
SE,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.
SE,The product shall ensure that only supervisors can enter a caller s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.
